,Name,Position,TeamAbbrev,Vegas Total,VEGAS,Salary,GPP ALGO,Last 4,L4: Value,Proj #1,Proj #2,Custom,Avg Proj,DVP L14,DVP L14 %ofFP,ID,AvgPointsPerGame
67,Kent Bazemore,SG/SF,ATL,116.0,5.0,5400,,26.9,5.0,26.9,21.4,22.9,23.7,43.1,18.80%,Kent Bazemore (12151525),26.9
68,Dewayne Dedmon,C/PF,ATL,116.0,5.0,5300,,36.1,6.8,27.6,28.3,30.4,28.8,49.0,21.40%,Dewayne Dedmon (12151547),27.6
69,Jeremy Lamb,SG/SF,CHA,111.5,4.5,5300,,25.9,4.9,28.3,26.9,28.3,27.8,39.5,17.10%,Jeremy Lamb (12151542),28.3
7,Kyrie Irving,PG,BOS,114.5,-2.5,9100,,36.3,4.0,48.3,46.2,49.2,47.9,43.4,20.10%,Kyrie Irving (12151278),48.3
70,Kenrich Williams,SF/PF,NOR,116.5,5.5,5300,,23.5,4.4,29.5,25.8,27.7,27.7,38.5,16.50%,Kenrich Williams (12151538),29.5
71,Elfrid Payton,PG,NOR,116.5,5.5,5200,,30.6,5.9,31.3,27.5,29.5,29.4,51.7,22.20%,Elfrid Payton (12151551),31.3
72,Justise Winslow,PG/SF,MIA,107.25,9.0,5200,,33.4,6.4,27.3,26.6,27.4,27.1,48.0,19.60%,Justise Winslow (12151556),27.3
73,Jarrett Allen,C,BKN,121.0,-5.5,5200,,32.9,6.3,35.0,27.9,30.6,31.2,56.6,22.30%,Jarrett Allen (12151554),35.0
74,Tim Hardaway Jr.,SG/SF,DAL,107.25,1.0,5200,,28.3,5.4,27.8,27.3,28.1,27.7,38.7,16.80%,Tim Hardaway Jr. (12151561),27.8
75,Dwyane Wade,PG/SG,MIA,107.25,9.0,5100,,30.8,6.0,26.4,24.9,25.6,25.7,49.5,20.20%,Dwyane Wade (12151566),26.4
76,Joe Ingles,SG/SF,UTA,118.25,-9.5,5000,,27.0,5.4,27.9,28.6,31.0,29.2,45.3,19.70%,Joe Ingles (12151573),27.9
