Name,Salary,Position,TeamAbbrev,Projection,Custom,Exposure,ID
Richy Werenski,6400,G,John Deere Classic,47.3,47.3,50,Richy Werenski (12940845)
Anirban Lahiri,6400,G,John Deere Classic,44.1,44.1,50,Anirban Lahiri (12940846)
Sang-Moon Bae,6400,G,John Deere Classic,42.3,42.3,50,Sang-Moon Bae (12940847)
Scott Langley,6400,G,John Deere Classic,48.6,48.6,50,Scott Langley (12940848)
David Lingmerth,6400,G,John Deere Classic,53.2,53.2,50,David Lingmerth (12940849)
Arjun Atwal,6400,G,John Deere Classic,34.7,34.7,50,Arjun Atwal (12940850)
Brendon Todd,6400,G,John Deere Classic,41.9,41.9,50,Brendon Todd (12940851)
Michael Kim,6400,G,John Deere Classic,29.6,29.6,50,Michael Kim (12940852)
Robert Garrigus,6300,G,John Deere Classic,51.2,51.2,50,Robert Garrigus (12940853)
Whee Kim,6300,G,John Deere Classic,32.1,32.1,50,Whee Kim (12940854)
Cody Gribble,6300,G,John Deere Classic,40.4,40.4,50,Cody Gribble (12940855)
Kelly Kraft,6300,G,John Deere Classic,46.6,46.6,50,Kelly Kraft (12940856)
Derek Fathauer,6300,G,John Deere Classic,52.2,52.2,50,Derek Fathauer (12940857)
Julian Etulain,6300,G,John Deere Classic,57.0,57.0,50,Julian Etulain (12940858)
Anders Albertson,6300,G,John Deere Classic,42.3,42.3,50,Anders Albertson (12940859)
Tyrone Van Aswegen,6300,G,John Deere Classic,40.0,40.0,50,Tyrone Van Aswegen (12940860)
Satoshi Kodaira,6300,G,John Deere Classic,34.2,34.2,50,Satoshi Kodaira (12940861)
Chris Thompson,6200,G,John Deere Classic,30.0,30.0,50,Chris Thompson (12940862)
Tom Lovelady,6200,G,John Deere Classic,36.5,36.5,50,Tom Lovelady (12940863)
John Senden,6200,G,John Deere Classic,40.7,40.7,50,John Senden (12940864)
Jose de Jesus Rodriguez,6200,G,John Deere Classic,43.5,43.5,50,Jose de Jesus Rodriguez (12940865)
Boo Weekley,6200,G,John Deere Classic,56.3,56.3,50,Boo Weekley (12940866)
Austin Connelly,6200,G,John Deere Classic,21.1,21.1,50,Austin Connelly (12940867)
Billy Hurley,6200,G,John Deere Classic,41.4,41.4,50,Billy Hurley (12940868)
George McNeill,6200,G,John Deere Classic,44.7,44.7,50,George McNeill (12940869)
Smylie Kaufman,6200,G,John Deere Classic,16.6,16.6,50,Smylie Kaufman (12940870)
J.J. Henry,6200,G,John Deere Classic,37.1,37.1,50,J.J. Henry (12940871)
Parker McLachlin,6100,G,John Deere Classic,44.5,44.5,50,Parker McLachlin (12940872)
John Chin,6100,G,John Deere Classic,35.5,35.5,50,John Chin (12940873)
Ricky Barnes,6100,G,John Deere Classic,42.7,42.7,50,Ricky Barnes (12940874)
Will Claxton,6100,G,John Deere Classic,21.6,21.6,50,Will Claxton (12940875)
Hunter Mahan,6100,G,John Deere Classic,45.3,45.3,50,Hunter Mahan (12940876)
Brady Schnell,6100,G,John Deere Classic,45.0,45.0,50,Brady Schnell (12940877)
Daniel Chopra,6100,G,John Deere Classic,39.4,39.4,50,Daniel Chopra (12940878)
Kris Blanks,6100,G,John Deere Classic,22.5,22.5,50,Kris Blanks (12940879)
Seth Reeves,6100,G,John Deere Classic,36.9,36.9,50,Seth Reeves (12940880)
Nicholas Lindheim,6100,G,John Deere Classic,44.7,44.7,50,Nicholas Lindheim (12940881)
Kyle Jones,6000,G,John Deere Classic,37.4,37.4,50,Kyle Jones (12940882)
Tim Herron,6000,G,John Deere Classic,39.1,39.1,50,Tim Herron (12940883)
Jim Herman,6000,G,John Deere Classic,38.1,38.1,50,Jim Herman (12940884)
Fredrik Jacobson,6000,G,John Deere Classic,39.6,39.6,50,Fredrik Jacobson (12940885)
Chad Collins,6000,G,John Deere Classic,32.1,32.1,50,Chad Collins (12940886)
Ryan Vermeer,6000,G,John Deere Classic,38.0,38.0,50,Ryan Vermeer (12940887)
Martin Trainer,6000,G,John Deere Classic,44.6,44.6,50,Martin Trainer (12940888)
Brian Davis,6000,G,John Deere Classic,31.1,31.1,50,Brian Davis (12940889)
Darin Fisher,6000,G,John Deere Classic,38.0,38.0,50,Darin Fisher (12940890)
Ho Sung Choi,6000,G,John Deere Classic,38.1,38.1,50,Ho Sung Choi (12940891)
Dicky Pride,6000,G,John Deere Classic,28.1,28.1,50,Dicky Pride (12940892)
